ticker,name
ACES,ALPS Clean Energy
AIEQ,Amplify AI Powered Equity
AIRR,First RBA American Industrial RenaissanceTM
ARKF,ARK Blockchain & Fintech Innovation
ARKK,ARK Innovation
ARKQ,ARK Autonomous Technology & Robotics
ARKW,ARK Next Generation Internet
BAI,iShares A.I. Innovation and Tech Active
BETZ,Roundhill Sports Betting & iGaming
BLOK,Amplify Blockchain Technology
CIBR,First NASDAQ Cybersecurity
CLOU,Global X Cloud Computing
CNRG,State Street SPDR S&P Kensho Clean Power
CRPT,First SkyBridge Crypto Industry and Digital Economy
DRLL,Strive U.S. Energy
ESPO,VanEck Video Gaming and eSports
FBT,First NYSE Arca Biotechnology Index
FCG,First Natural Gas
FDN,First Dow Jones Internet Index
FDND,FT Vest Dow Jones Internet & Target Income
FDRV,Fidelity Electric Vehicles and Future Transportation
FFTY,CapForce IBD 50
FINX,Global X FinTech
FTXG,First Nasdaq Food & Beverage
FTXL,First Nasdaq Semiconductor
FTXN,First Nasdaq Oil & Gas
FTXO,First Nasdaq Bank
GDOC,Goldman Sachs Future Health Care Equity
GGME,Invesco Next Gen Media and Gaming
GINN,Goldman Sachs Innovate Equity
GTEK,Goldman Sachs Future Tech Leaders Equity
HACK,Amplify Cybersecurity
HERO,Global X Video Games & Esports
IAI,iShares U.S. Broker-Dealers & Securities Exchanges
IAK,iShares U.S. Insurance
IAT,iShares U.S. Regional Banks
IBB,iShares Biotechnology
IBUY,Amplify Online Retail
IDGT,iShares U.S. Digital Infrastructure and Real Estate
IDRV,iShares Self-Driving EV and Tech
IEO,iShares U.S. Oil & Gas Exploration & Production
IETC,iShares U.S. Tech Independence Focused
IEZ,iShares U.S. Oil Equipment & Services
IFRA,iShares U.S. Infrastructure
IGM,iShares Expanded Tech Sector
IGPT,Invesco AI and Next Gen Software
IGV,iShares Expanded Tech-Software Sector
IHE,iShares U.S. Pharmaceuticals
IHF,iShares U.S. Healthcare Providers
IHI,iShares U.S. Medical Devices
INDS,Pacer Benchmark Industrial Real Estate SCTR
IPAY,Amplify Digital Payments
ITA,iShares U.S. Aerospace & Defense
ITB,iShares U.S. Home Construction
IYG,iShares U.S. Financial Services
IYT,iShares Transportation Average
JETS,U.S. Global Jets
KARS,KraneShares Electric Vehicles and Future Mobility Index
KBE,State Street SPDR S&P Bank
KBWB,Invesco KBW Bank
KBWP,Invesco KBW Property & Casualty Insurance
KCE,State Street SPDR S&P Capital Markets
KIE,State Street SPDR S&P Insurance
KNCT,Invesco Next Gen Connectivity E
KOMP,State Street SPDR S&P Kensho New Economies Composite
KRE,State Street SPDR S&P Regional Banking
LOUP,Innovator Deepwater Frontier Tech
METV,Roundhill Ball Metaverse
NFRA,FlexShares STOXX Global Broad Infrastructure Index
NUKZ,Range Nuclear Renaissance
OGIG,ALPS O'Shares Global Internet Giants Shares
OIH,VanEck Oil Services
ONLN,ProShares Online Retail
PAVE,Global X U.S. Infrastructure Development
PBE,Invesco Biotechnology & Genome
PBJ,Invesco Food & Beverage
PBW,Invesco WilderHill Clean Energy
PEJ,Invesco Dynamic Leisure and Entertainment
PJP,Invesco Pharmaceuticals
PKB,Invesco Building & Construction
PNQI,Invesco NASDAQ Internet
PPA,Invesco Aerospace & Defense
PRNT,The 3D Printing
PSI,Invesco Semiconductors
PXE,Invesco Dynamic Energy Exploration & Production
PXJ,Invesco Oil & Gas Services
QABA,First NASDAQ ABA Community Bank Index
QCLN,First NASDAQ Clean Edge Green Energy Index
RTH,VanEck Retail
SBIO,ALPS Medical Breakthroughs
SKYY,First Cloud Computing
SMH,VanEck Semiconductor
SNSR,Global X Internet of Things
SOCL,Global X Social Media
SOXQ,Invesco PHLX Semiconductor
SOXX,iShares Semiconductor
TAN,Invesco Solar
UFOX,Defiance Connective Technologie
WCLD,WisdomTree Cloud Computing
XAR,State Street SPDR S&P Aerospace & Defense
XBI,State Street SPDR S&P Biotech
XES,State Street SPDR S&P Oil & Gas Equipment & Services
XHB,State Street SPDR S&P Homebuilders
XHE,State Street SPDR S&P Health Care Equipment
XHS,State Street SPDR S&P Health Care Services
XITK,State Street SPDR FactSet Innovative Technology
XME,State Street SPDR S&P Metals & Mining
XOP,State Street SPDR S&P Oil & Gas Exploration & Production
XPH,State Street SPDR S&P Pharmaceuticals
XRT,State Street SPDR S&P Retail
XSD,State Street SPDR S&P Semiconductor
XSW,State Street SPDR S&P Software & Services
XTL,State Street SPDR S&P Telecom
XTN,State Street SPDR S&P Transportation
