ticker,ar1_beta,t_stat,p_value,n_obs
NFRA,-0.1541,-7.261,0.0,2169
SOXX,-0.1408,-6.621,0.0,2169
SMH,-0.1331,-6.25,0.0,2169
FTXL,-0.1294,-6.073,0.0,2169
KBWP,-0.1273,-5.973,0.0,2169
FTXG,-0.127,-5.959,0.0,2169
PJP,-0.1203,-5.639,0.0,2169
XSD,-0.1202,-5.638,0.0,2169
PBJ,-0.1186,-5.562,0.0,2169
PSI,-0.1182,-5.539,0.0,2169
IETC,-0.1137,-5.054,0.0,1953
IGM,-0.113,-5.294,0.0,2169
IYG,-0.1015,-4.747,0.0,2169
INDS,-0.1003,-4.41,0.0,1918
KIE,-0.0996,-4.658,0.0,2169
IAI,-0.096,-4.487,0.0,2169
UFOX,-0.0948,-3.942,0.0001,1716
RTH,-0.0947,-4.427,0.0,2169
PBE,-0.0945,-4.417,0.0,2169
IHE,-0.0905,-4.23,0.0,2169
PAVE,-0.082,-3.829,0.0001,2169
QABA,-0.0806,-3.763,0.0002,2169
IHI,-0.0772,-3.605,0.0003,2169
SOXQ,-0.0768,-2.602,0.0094,1143
IAK,-0.0764,-3.568,0.0004,2169
SNSR,-0.0756,-3.53,0.0004,2169
IYT,-0.0728,-3.398,0.0007,2169
KBWB,-0.0718,-3.351,0.0008,2169
IAT,-0.0716,-3.341,0.0008,2169
IGV,-0.0712,-3.323,0.0009,2169
IFRA,-0.0692,-3.058,0.0023,1945
KRE,-0.0687,-3.206,0.0014,2169
FBT,-0.0685,-3.195,0.0014,2169
XHS,-0.0665,-3.104,0.0019,2169
HERO,-0.0655,-2.582,0.0099,1548
FDND,-0.0637,-1.343,0.18,445
SOCL,-0.0636,-2.967,0.003,2169
KNCT,-0.0634,-2.959,0.0031,2169
FTXO,-0.0629,-2.935,0.0034,2169
KBE,-0.0621,-2.898,0.0038,2169
XBI,-0.0617,-2.879,0.004,2169
XRT,-0.0613,-2.857,0.0043,2169
KOMP,-0.0596,-2.537,0.0113,1805
IHF,-0.0593,-2.768,0.0057,2169
IDGT,-0.0593,-2.764,0.0058,2169
XTL,-0.059,-2.751,0.006,2169
XPH,-0.0589,-2.749,0.006,2169
IBB,-0.0588,-2.744,0.0061,2169
SBIO,-0.0579,-2.701,0.007,2169
ESPO,-0.0553,-2.355,0.0186,1809
AIRR,-0.0532,-2.479,0.0132,2169
BAI,-0.0521,-0.898,0.37,297
XOP,-0.0515,-2.401,0.0164,2169
FDN,-0.0511,-2.383,0.0173,2169
KCE,-0.0499,-2.326,0.0201,2169
AIEQ,-0.0492,-2.232,0.0257,2060
KARS,-0.0473,-2.114,0.0347,1993
IGPT,-0.0472,-2.198,0.0281,2169
CNRG,-0.0436,-1.853,0.0641,1805
GGME,-0.0431,-2.009,0.0447,2169
FFTY,-0.0363,-1.691,0.091,2169
IDRV,-0.0362,-1.484,0.1379,1684
IPAY,-0.0346,-1.611,0.1073,2169
ARKQ,-0.0314,-1.465,0.1431,2169
IEO,-0.0312,-1.454,0.1461,2169
XSW,-0.0308,-1.434,0.1516,2169
XME,-0.0303,-1.411,0.1585,2169
PNQI,-0.0277,-1.288,0.1977,2169
XTN,-0.0267,-1.241,0.2147,2169
SKYY,-0.0251,-1.168,0.2431,2169
XHE,-0.0241,-1.124,0.2611,2169
QCLN,-0.0221,-1.028,0.3042,2169
ARKK,-0.0218,-1.013,0.3112,2169
PPA,-0.0207,-0.963,0.3358,2169
HACK,-0.019,-0.886,0.3757,2169
ONLN,-0.0174,-0.739,0.4598,1808
XAR,-0.0168,-0.781,0.435,2169
ACES,-0.0161,-0.7,0.4838,1885
FTXN,-0.016,-0.745,0.4564,2169
CIBR,-0.0148,-0.688,0.4917,2169
XHB,-0.0141,-0.655,0.5125,2169
LOUP,-0.0125,-0.538,0.591,1862
BLOK,-0.0111,-0.497,0.6194,1993
ITB,-0.0081,-0.378,0.7053,2169
ARKW,-0.008,-0.371,0.7103,2169
TAN,-0.0079,-0.369,0.7118,2169
PKB,-0.0071,-0.329,0.7421,2169
PXE,-0.0067,-0.311,0.7562,2169
FINX,-0.0054,-0.251,0.8016,2169
PBW,-0.0053,-0.247,0.805,2169
OGIG,-0.0019,-0.083,0.9343,1903
CRPT,-0.0,-0.0,0.9997,1073
ARKF,0.001,0.043,0.9656,1736
GINN,0.0023,0.084,0.9329,1290
IBUY,0.0024,0.112,0.9107,2169
ITA,0.0025,0.115,0.9084,2169
FDRV,0.0033,0.107,0.9146,1061
METV,0.0035,0.119,0.9052,1130
CLOU,0.0037,0.153,0.8784,1686
IEZ,0.0055,0.258,0.7963,2169
PRNT,0.0077,0.358,0.7202,2169
PEJ,0.0078,0.363,0.7169,2169
XITK,0.0105,0.488,0.6258,2169
GTEK,0.0113,0.37,0.7114,1076
PXJ,0.013,0.603,0.5462,2169
OIH,0.0183,0.853,0.3938,2169
JETS,0.0183,0.852,0.3945,2169
FCG,0.0186,0.865,0.387,2169
NUKZ,0.0229,0.504,0.6145,485
DRLL,0.0237,0.69,0.4905,851
XES,0.0251,1.17,0.242,2169
WCLD,0.0306,1.219,0.2232,1587
GDOC,0.0489,1.574,0.1157,1036
BETZ,0.052,1.95,0.0514,1400
