label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate,pct_invested
Always-on  Bot1,0.1835,0.4457,0.412,-0.6888,0.266,0.508,0.99
Always-on  Bot3,0.1857,0.375,0.495,-0.6128,0.303,0.525,1.0
Always-on  Bot5,0.1851,0.356,0.52,-0.6222,0.297,0.529,1.0
Always-on  Bot10,0.1743,0.3197,0.545,-0.5587,0.312,0.533,1.0
Always-on  Bot15,0.169,0.3005,0.562,-0.5361,0.315,0.536,1.0
VIX > 15  Bot1,0.1568,0.4112,0.381,-0.6886,0.228,0.347,0.675
VIX > 15  Bot3,0.1587,0.3529,0.45,-0.599,0.265,0.357,0.682
VIX > 15  Bot5,0.1568,0.3371,0.465,-0.588,0.267,0.362,0.682
VIX > 15  Bot10,0.1379,0.3035,0.454,-0.5312,0.26,0.361,0.682
VIX > 15  Bot15,0.1371,0.2862,0.479,-0.5192,0.264,0.367,0.682
VIX > 20  Bot1,0.2342,0.3452,0.678,-0.416,0.563,0.183,0.338
VIX > 20  Bot3,0.1915,0.3087,0.62,-0.5086,0.376,0.185,0.341
VIX > 20  Bot5,0.1916,0.2961,0.647,-0.5047,0.38,0.186,0.341
VIX > 20  Bot10,0.1814,0.2675,0.678,-0.4625,0.392,0.189,0.341
VIX > 20  Bot15,0.1827,0.2531,0.722,-0.4555,0.401,0.194,0.341
